date,score
2020-01-06,6.0
2020-01-13,6.0
2020-01-20,6.0
2020-01-27,6.0
2020-02-03,6.0
2020-02-10,6.0
2020-02-17,7.0
2020-02-24,7.0
2020-03-02,11.0
2020-03-09,33.0
2020-03-16,100.0
2020-03-23,37.0
2020-03-30,14.0
2020-04-06,11.0
2020-04-13,10.0
2020-04-20,10.0
2020-04-27,9.0
2020-05-04,9.0
2020-05-11,9.0
2020-05-18,10.0
2020-05-25,9.0
2020-06-01,8.0
2020-06-08,8.0
2020-06-15,10.0
2020-06-22,8.0
2020-06-29,8.0
2020-07-06,8.0
2020-07-13,8.0
2020-07-20,9.0
2020-07-27,8.0
2020-08-03,8.0
2020-08-10,8.01
2020-08-17,7.82
2020-08-24,7.18
2020-08-31,7.91
2020-09-07,6.9
2020-09-14,6.9
2020-09-21,8.74
2020-09-28,6.9
2020-10-05,7.09
2020-10-12,6.9
2020-10-19,6.53
2020-10-26,6.81
2020-11-02,6.35
2020-11-09,7.27
2020-11-16,6.63
2020-11-23,6.63
2020-11-30,5.8
2020-12-07,6.44
2020-12-14,6.63
2020-12-21,6.35
2020-12-28,9.2
2021-01-04,5.52
2021-01-11,6.44
2021-01-18,6.63
2021-01-25,8.37
2021-02-01,8.1
2021-02-08,7.26
2021-02-15,7.76
2021-02-22,8.26
2021-03-01,12.51
2021-03-08,9.51
2021-03-15,8.88
2021-03-22,10.26
2021-03-29,8.01
2021-04-05,7.88
2021-04-12,7.38
2021-04-19,7.13
2021-04-26,6.88
2021-05-03,8.01
2021-05-10,7.63
2021-05-17,8.26
2021-05-24,7.63
2021-05-31,6.75
2021-06-07,6.13
2021-06-14,6.0
2021-06-21,8.51
2021-06-28,6.38
2021-07-05,5.63
2021-07-12,6.13
2021-07-19,6.63
2021-07-26,6.5
2021-08-02,6.0
2021-08-09,5.58
2021-08-16,5.58
2021-08-23,6.23
2021-08-30,5.58
2021-09-06,5.9
2021-09-13,5.25
2021-09-20,5.74
2021-09-27,6.56
2021-10-04,7.05
2021-10-11,6.56
2021-10-18,6.23
2021-10-25,6.07
2021-11-01,6.72
2021-11-08,7.54
2021-11-15,7.87
2021-11-22,8.04
2021-11-29,5.58
2021-12-06,7.38
2021-12-13,5.9
2021-12-20,9.84
2021-12-27,4.76
2022-01-03,5.25
2022-01-10,7.71
2022-01-17,9.35
2022-01-24,8.86
2022-01-31,16.4
2022-02-07,8.36
2022-02-14,11.41
2022-02-21,10.77
2022-02-28,9.51
2022-03-07,10.77
2022-03-14,10.14
2022-03-21,25.98
2022-03-28,12.04
2022-04-04,12.04
2022-04-11,13.94
2022-04-18,16.48
2022-04-25,14.58
2022-05-02,13.94
2022-05-09,35.49
2022-05-16,13.31
2022-05-23,10.14
2022-05-30,9.51
2022-06-06,10.77
2022-06-13,16.48
2022-06-20,63.37
2022-06-27,13.31
2022-07-04,10.14
2022-07-11,11.41
2022-07-18,13.31
2022-07-25,11.41
2022-08-01,32.32
2022-08-08,10.9
2022-08-15,8.97
2022-08-22,8.65
2022-08-29,11.86
2022-09-05,9.93
2022-09-12,9.61
2022-09-19,12.5
2022-09-26,31.73
2022-10-03,14.74
2022-10-10,12.82
2022-10-17,13.78
2022-10-24,13.46
2022-10-31,13.46
2022-11-07,31.41
2022-11-14,12.5
2022-11-21,12.18
2022-11-28,9.93
2022-12-05,12.18
2022-12-12,11.86
2022-12-19,19.55
2022-12-26,8.97
2023-01-02,10.58
2023-01-09,11.86
2023-01-16,11.54
2023-01-23,12.5
2023-01-30,11.86
2023-02-06,19.87
2023-02-13,12.26
2023-02-20,11.96
2023-02-27,15.85
2023-03-06,15.55
2023-03-13,17.94
2023-03-20,18.54
2023-03-27,29.91
2023-04-03,12.86
2023-04-10,12.56
2023-04-17,14.95
2023-04-24,14.06
2023-05-01,16.15
2023-05-08,28.41
2023-05-15,12.86
2023-05-22,12.56
2023-05-29,11.66
2023-06-05,12.86
2023-06-12,11.96
2023-06-19,16.45
2023-06-26,11.66
2023-07-03,11.07
2023-07-10,13.76
2023-07-17,14.06
2023-07-24,12.86
2023-07-31,25.42
2023-08-07,12.66
2023-08-14,12.16
2023-08-21,15.7
2023-08-28,13.42
2023-09-04,12.66
2023-09-11,13.68
2023-09-18,11.9
2023-09-25,15.2
2023-10-02,13.17
2023-10-09,13.42
2023-10-16,13.42
2023-10-23,14.18
2023-10-30,17.48
2023-11-06,17.48
2023-11-13,13.42
2023-11-20,14.18
2023-11-27,11.65
2023-12-04,14.94
2023-12-11,18.24
2023-12-18,18.49
2023-12-25,14.18
2024-01-01,13.17
2024-01-08,14.94
2024-01-15,11.9
2024-01-22,13.17
2024-01-29,13.17
2024-02-05,18.49
2024-02-12,12.03
2024-02-19,13.32
2024-02-26,13.88
2024-03-04,13.14
2024-03-11,13.69
2024-03-18,13.14
2024-03-25,17.76
2024-04-01,12.21
2024-04-08,13.88
2024-04-15,14.8
2024-04-22,14.06
2024-04-29,13.51
2024-05-06,17.02
2024-05-13,11.47
2024-05-20,12.21
2024-05-27,12.03
2024-06-03,11.1
2024-06-10,15.54
2024-06-17,17.58
2024-06-24,10.18
2024-07-01,10.55
2024-07-08,11.1
2024-07-15,11.66
2024-07-22,11.66
2024-07-29,11.29
2024-08-05,21.14
2024-08-12,18.95
2024-08-19,13.85
2024-08-26,16.77
2024-09-02,12.39
2024-09-09,13.85
2024-09-16,17.49
2024-09-23,72.9
2024-09-30,14.58
2024-10-07,12.39
2024-10-14,10.21
2024-10-21,10.93
2024-10-28,11.66
2024-11-04,11.66
2024-11-11,31.34
2024-11-18,15.31
2024-11-25,11.66
2024-12-02,10.93
2024-12-09,12.39
2024-12-16,10.93
2024-12-23,22.6
2024-12-30,10.21
2025-01-06,10.21
2025-01-13,10.21
2025-01-20,12.39
2025-01-27,13.85
2025-02-03,17.49
2025-02-10,11.52
2025-02-17,11.16
2025-02-24,11.88
2025-03-03,12.24
2025-03-10,36.0
2025-03-17,14.76
2025-03-24,18.0
2025-03-31,11.52
2025-04-07,19.08
2025-04-14,17.64
2025-04-21,13.68
2025-04-28,12.96
2025-05-05,11.88
2025-05-12,15.84
2025-05-19,10.8
2025-05-26,10.44
2025-06-02,9.72
2025-06-09,10.44
2025-06-16,10.08
2025-06-23,15.84
2025-06-30,11.52
2025-07-07,12.96
2025-07-14,12.96
2025-07-21,15.84
2025-07-28,15.48
2025-08-04,32.04
2025-08-11,13.44
2025-08-18,13.44
2025-08-25,16.27
2025-09-01,14.15
2025-09-08,14.86
2025-09-15,15.56
2025-09-22,70.75
2025-09-29,13.44
2025-10-06,12.03
2025-10-13,10.61
2025-10-20,11.32
2025-10-27,11.32
2025-11-03,33.96
2025-11-10,12.73
2025-11-17,12.73
2025-11-24,12.03
2025-12-01,15.56
2025-12-08,15.56
2025-12-15,38.2
2025-12-22,17.69
2025-12-29,12.03
2026-01-05,12.73
2026-01-12,19.81
2026-01-19,16.98
2026-01-26,14.15
2026-02-02,17.69
